,cityname,cloudiness,country,date_time,humidity,latitude,longtitude,temp,windspeed
133,Evans,1,US,9/8/17 22:35,87,33.53,-82.13,69.8,6.64
134,Ewo,56,CG,9/8/17 22:54,94,-0.87,14.82,72.5,5.3
135,Eyl,32,SO,9/8/17 22:54,70,7.98,49.82,83.93,16.93
136,Farafangana,88,MG,9/8/17 22:54,100,-22.82,47.83,70.43,11.56
137,Faridpur,75,BD,9/8/17 22:30,70,23.6,89.83,89.6,4.7
138,Dalton,0,ZA,9/8/17 22:54,67,-29.34,30.63,60.53,3.18
139,Florence,1,US,9/8/17 22:35,100,34.8,-87.68,64.4,10.45
140,Fort-Shevchenko,0,KZ,9/8/17 22:54,77,44.51,50.26,78.08,4.97
141,Galle,92,LK,9/8/17 22:54,100,6.04,80.22,74.93,11.68
142,Istgah-e Garmsar,0,IR,9/8/17 22:54,30,35.23,52.31,81.14,3.06
143,Gasa,12,BT,9/8/17 22:54,85,27.9,89.73,43.88,0.94
144,Qiryat Gat,75,IL,9/8/17 22:50,69,31.61,34.76,84.2,4.7
145,General Roca,75,AR,9/8/17 22:00,61,-39.03,-67.58,48.2,5.82
146,Georgetown,8,GY,9/8/17 22:53,86,6.8,-58.16,78.26,6.87
147,Gimbi,92,ET,9/8/17 22:54,100,9.17,35.83,62.33,1.83
148,Glasgow,12,GB,9/8/17 22:20,93,55.87,-4.26,51.8,5.82
149,Goderich,0,CA,9/8/17 22:54,84,43.75,-81.72,46.76,6.31
150,Gopalpur,32,IN,9/8/17 22:54,98,19.27,84.92,87.08,13.13
151,Yakovlevo,40,RU,9/8/17 22:30,93,60.29,29.49,51.8,6.71
152,Goya,100,AR,9/8/17 22:54,94,-29.14,-59.26,66.56,10.45
153,Grand Gaube,20,MU,9/8/17 22:00,64,-20.01,57.66,75.2,17.22
154,Grande Riviere Sud Est,20,MU,9/8/17 22:00,64,-20.29,57.78,75.2,17.22
155,Grand-Lahou,88,CI,9/8/17 22:54,97,5.14,-5.02,73.31,4.07
156,Grand-Santi,0,GF,9/8/17 22:54,55,4.25,-54.38,82.76,6.08
157,Great Yarmouth,0,GB,9/8/17 22:20,100,52.61,1.73,48.2,6.93
158,Grindavik,0,IS,9/8/17 22:30,100,63.84,-22.43,42.8,6.93
159,Guapi,92,CO,9/8/17 22:54,100,2.57,-77.89,71.33,2.73
160,Hadejia,0,NG,9/8/17 22:54,90,12.45,10.04,72.5,6.31
161,Halifax,5,CA,9/8/17 22:00,93,44.65,-63.57,53.6,5.82
162,Hambantota,88,LK,9/8/17 22:54,100,6.12,81.12,75.65,14.03
163,Hamilton,20,CA,9/8/17 22:00,87,43.23,-79.95,55.4,8.05
164,Harper,90,LR,9/8/17 22:00,94,4.38,-7.72,75.2,9.55
165,Hartford,1,US,9/8/17 21:58,100,41.76,-72.69,55.4,4.63
166,Havoysund,0,NO,9/8/17 21:50,83,71,24.66,41,16.11
167,Havre-Saint-Pierre,90,CA,9/8/17 22:00,87,50.23,-63.6,53.6,10.29
168,Hentiesbaai,36,NA,9/8/17 22:55,97,-22.12,14.28,56.03,2.84
169,Hermanus,64,ZA,9/8/17 22:55,96,-34.42,19.23,50.63,2.73
170,High Rock,92,BS,9/8/17 22:55,100,26.62,-78.28,84.65,37.85
171,Hithadhoo,36,MV,9/8/17 22:55,99,-0.6,73.08,84.92,14.25
172,Hofn,24,IS,9/8/17 22:55,100,64.25,-15.21,47.48,6.98
173,Kalkerup,92,DK,9/8/17 22:20,93,55.27,11.81,59,10.29
174,Honningsvag,48,NO,9/8/17 22:55,86,70.98,25.97,46.04,16.71
175,Horasan,0,TR,9/8/17 22:55,45,40.05,42.17,59.81,2.39
176,Hualmay,32,PE,9/8/17 22:55,93,-11.1,-77.61,51.71,4.97
177,Humaita,32,BR,9/8/17 22:55,94,-7.51,-63.02,73.31,2.17
178,Husavik,0,IS,9/8/17 22:00,100,66.04,-17.34,41,3.06
179,Idah,88,NG,9/8/17 22:55,99,7.11,6.73,71.87,3.29
180,Ikalamavony,0,MG,9/8/17 22:55,54,-21.15,46.58,61.52,3.74
181,Ilhabela,0,BR,9/8/17 22:55,97,-23.78,-45.36,67.73,10.78
182,Trevi,0,IT,9/8/17 21:55,82,41.9,12.49,62.6,4.7
183,Ilulissat,0,GL,9/8/17 21:50,50,69.22,-51.1,33.8,14.99
184,Imbituba,75,BR,9/8/17 22:00,82,-28.24,-48.67,68,8.05
185,Impfondo,24,CG,9/8/17 22:55,96,1.64,18.07,74.75,3.06
186,Inderbor,20,KZ,9/8/17 22:55,54,48.55,51.78,71.33,6.42
187,Iqaluit,90,CA,9/8/17 22:00,86,63.75,-68.51,39.2,18.34
188,Iquique,90,CL,9/8/17 22:00,67,-20.22,-70.14,60.8,3.36
189,Iquitos,75,PE,9/8/17 22:00,94,-3.75,-73.25,75.2,4.7
190,Olho d?Agua,0,BR,9/8/17 22:55,86,-2.88,-39.95,76.28,14.03
191,Itirapina,8,BR,9/8/17 22:55,56,-22.25,-47.82,62.06,7.2
192,Jaciara,8,BR,9/8/17 22:55,66,-15.97,-54.97,71.33,3.06
193,Gialo,0,LY,9/8/17 22:55,42,29.03,21.55,75.83,3.74
194,Jamestown,90,US,9/8/17 22:36,93,42.1,-79.24,53.6,4.7
195,Jardim,56,BR,9/8/17 22:50,45,-21.48,-56.14,74.93,6.98
196,Jeddah,0,SA,9/8/17 22:00,74,21.52,39.22,87.8,11.41
197,Jijiga,8,ET,9/8/17 22:55,68,9.35,42.8,69.98,6.76
198,Jutai,44,BR,9/8/17 22:55,91,-5.18,-68.9,76.1,3.51
199,Kabwe,0,ZM,9/8/17 22:55,50,-14.45,28.45,67.82,11.12
200,Kaka,0,TM,9/8/17 22:55,37,37.35,59.61,80.15,5.97
201,Kalmunai,36,LK,9/8/17 22:55,100,7.42,81.82,81.5,2.17
202,Kansanshi,0,ZM,9/8/17 22:55,42,-12.1,26.43,63.23,9.89
203,Kapustin Yar,92,RU,9/8/17 22:55,100,48.58,45.74,60.8,7.99
204,Karakol,48,KG,9/8/17 22:55,24,42.49,78.39,67.91,1.95
205,Karaman,0,TR,9/8/17 22:55,45,37.18,33.22,66.56,3.85
206,Karatau,24,KZ,9/8/17 22:55,26,43.17,70.47,83.93,8.1
207,Kargasok,64,RU,9/8/17 22:55,69,59.06,80.86,46.85,5.08
208,Karsava,76,LV,9/8/17 22:55,96,56.78,27.69,54.68,12.24
209,Kasongo-Lunda,8,CD,9/8/17 22:55,93,-6.47,16.82,71.6,2.17
